"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical";1;"Conn_01x02_Pin";;;
2;"SW2";"SW_PUSH_6mm_H5mm";1;"SW_Boot";;;
3;"R1,R11,R7";"R_0805_2012Metric";3;"10k";;;
4;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uf";;;
5;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_Red";;;
6;"SW6";"SW_PUSH_6mm_H5mm";1;"SW_Reset";;;
7;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_Green";;;
8;"R4";"R_0805_2012Metric";1;"12R";;;
9;"L1";"L_Coilcraft_XxL4020";1;"2.2uH";;;
10;"R3";"R_0805_2012Metric";1;"100R";;;
11;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"Jumper_2_Bridged";;;
12;"R17";"R_0805_2012Metric";1;"100k";;;
13;"C8,C2,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"100nf";;;
14;"R18";"R_0805_2012Metric";1;"560k";;;
15;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
16;"SW1";"SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm";1;"SW_Wuerth_450301014042";;;
17;"J3";"JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical";1;"Conn_01x06_Pin";;;
18;"R6,R5";"R_0805_2012Metric";2;"4k7";;;
19;"Q1";"SOT-23";1;"AO3401A";;;
20;"R15,R14";"R_0805_2012Metric";2;"1k";;;
21;"R12,R13";"R_0805_2012Metric";2;"1M";;;
22;"SW4";"RotaryEncoder_Bourns_Horizontal_PEC09-2xxxF-Sxxxx";1;"RotaryEncoder_Switch";;;
23;"U2";"SOT95P280X145-5N";1;"MCP73831T-2ACI/OT";;;
24;"D3";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"D_Schottky";;;
25;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_Blue";;;
26;"R16";"R_0805_2012Metric";1;"4.7k";;;
27;"J2";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
28;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
29;"R8,R9";"R_0805_2012Metric";2;"5.1k";;;
30;"J4";"PinHeader_1x02_P1.27mm_Vertical";1;"Conn_01x02_Pin";;;
31;"128x64_OLED_pins2";"PinHeader_1x04_P2.54mm_Vertical";1;"~";;;
32;"R10";"R_0805_2012Metric";1;"44R";;;
33;"U3";"SON_B1-APUR_STM";1;"STBB1-APUR";;;
34;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
35;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uf";;;
